1604044823.7455914,0,0,0,0
1604044823.773066,0,0,0,0
1604044823.801144,0,0,0,0
1604044823.8291492,0,0,0,0
1604044823.8571475,0,0,0,0
1604044823.8852289,0,0,0,0
1604044823.9131353,0,0,0,0
1604044823.9411507,0,0,0,0
1604044823.9691842,0,0,0,0
1604044823.997217,0,0,0,0
1604044824.025159,0,0,0,0
1604044824.053226,0,0,0,0
1604044824.081248,0,0,0,0
1604044824.1092505,0,0,0,0
1604044824.1371431,0,0,0,0
1604044824.165213,0,0,0,0
1604044824.193145,0,0,0,0
1604044824.2210972,0,0,0,0
1604044824.2491517,0,0,0,0
1604044824.2771854,0,0,0,0
1604044824.3051455,0,0,0,0
1604044824.3331127,0,0,0,0
1604044824.3651707,0,0,0,0
1604044824.3972056,0,0,0,0
1604044824.4381826,0,0,0,0
1604044824.46524,0,0,0,0
1604044824.493193,0,0,0,0
1604044824.521192,0,0,0,0
1604044824.5532508,0,0,0,0
1604044824.5812361,0,0,0,0
1604044824.60921,0,0,0,0
1604044824.6372943,0,0,0,0
1604044824.6652164,0,0,0,0
1604044824.6932063,0,0,0,0
1604044824.721442,0,0,0,0
1604044824.749283,0,-5,-2,0
1604044824.7771838,1,-5,-2,0
1604044824.8093474,1,-5,-3,1
1604044824.841215,1,-6,-3,1
1604044824.8737457,1,-6,-4,1
1604044824.9012883,1,-6,-4,1
1604044824.9291701,1,-6,-5,1
1604044824.9573817,2,-6,-5,1
1604044824.9854183,3,-6,-6,2
1604044825.0132341,3,-6,-7,2
1604044825.0412877,4,-6,-7,2
1604044825.0693502,5,-7,-8,3
1604044825.0973394,7,-8,-10,3
1604044825.1294653,9,-9,-11,4
1604044825.157341,12,-10,-13,5
1604044825.189351,15,-12,-14,6
1604044825.2213924,19,-13,-17,8
1604044825.2491817,22,-15,-19,9
1604044825.2773373,24,-18,-21,10
1604044825.3051834,28,-22,-23,12
1604044825.3331506,31,-25,-25,14
1604044825.361212,36,-29,-28,17
1604044825.389242,39,-33,-30,18
1604044825.4173527,46,-38,-33,22
1604044825.4452562,52,-43,-35,25
1604044825.4731405,59,-48,-38,29
1604044825.5014744,65,-53,-41,34
1604044825.5292146,70,-58,-43,37
1604044825.5574348,75,-64,-46,42
1604044825.5853362,79,-71,-49,46
1604044825.6132133,83,-75,-51,50
1604044825.6412194,88,-82,-54,56
1604044825.6732998,92,-88,-56,60
1604044825.7013419,94,-95,-59,65
1604044825.7290938,96,-101,-61,69
1604044825.7572048,98,-107,-63,72
1604044825.7893474,98,-114,-65,74
1604044825.8173954,99,-121,-67,76
1604044825.845288,100,-127,-69,78
1604044825.8732703,100,-133,-71,80
1604044825.905252,101,-139,-73,82
1604044825.9331424,102,-143,-74,83
1604044825.9616039,104,-146,-75,84
1604044825.9932547,106,-150,-76,86
1604044826.0213838,105,-154,-78,87
1604044826.04921,106,-155,-78,87
1604044826.081468,107,-156,-79,89
1604044826.1092463,105,-158,-79,88
1604044826.137354,104,-158,-79,88
1604044826.165212,100,-159,-79,88
1604044826.1971889,97,-158,-78,87
1604044826.2252128,95,-154,-77,85
1604044826.25322,92,-151,-76,84
1604044826.281145,88,-149,-74,82
1604044826.3090882,85,-146,-72,80
1604044826.3373778,81,-141,-70,77
1604044826.3651845,77,-135,-68,75
1604044826.3932965,75,-130,-65,72
1604044826.4213705,71,-122,-63,70
1604044826.4492295,64,-115,-60,65
1604044826.4772968,61,-104,-57,58
1604044826.5052276,59,-94,-53,51
1604044826.5332775,55,-85,-50,45
1604044826.5613463,51,-73,-47,39
1604044826.589272,42,-66,-43,33
1604044826.6172109,37,-58,-40,29
1604044826.6452138,33,-47,-36,23
1604044826.6732266,32,-38,-33,20
1604044826.701234,30,-31,-30,17
1604044826.729222,24,-25,-27,14
1604044826.757195,18,-19,-23,11
1604044826.7852247,9,-13,-20,8
1604044826.813171,6,-8,-17,6
1604044826.841204,1,-2,-14,5
1604044826.86921,-8,1,-11,3
1604044826.8972256,-16,3,-8,1
1604044826.9252615,-20,6,-5,0
1604044826.9531393,-28,8,-2,0
1604044826.981281,-35,10,1,-2
1604044827.0132625,-41,11,4,-3
1604044827.0412943,-49,9,7,-5
1604044827.0732,-58,9,10,-8
1604044827.1013138,-64,9,13,-10
1604044827.1332746,-71,6,16,-13
1604044827.1612291,-79,4,18,-16
1604044827.1891465,-85,2,20,-18
1604044827.2172477,-90,1,23,-21
1604044827.2451937,-95,2,25,-23
1604044827.2732859,-102,1,27,-26
1604044827.3012254,-107,-1,30,-30
1604044827.329134,-111,-3,31,-32
1604044827.3612845,-117,-5,34,-36
1604044827.393259,-121,-9,36,-39
1604044827.421231,-125,-11,37,-42
1604044827.453232,-128,-13,39,-44
1604044827.4812582,-132,-13,40,-46
1604044827.509237,-133,-9,41,-47
1604044827.5372868,-132,-6,42,-48
1604044827.5653052,-132,-6,43,-49
1604044827.59334,-132,-5,44,-49
1604044827.6212175,-131,-4,44,-49
1604044827.653248,-131,-2,45,-49
1604044827.681208,-134,-1,45,-50
1604044827.709109,-138,-1,45,-52
1604044827.7412403,-141,0,45,-53
1604044827.769154,-144,2,44,-53
1604044827.7972047,-146,3,44,-54
1604044827.825263,-145,6,43,-53
1604044827.853131,-144,8,43,-52
1604044827.8812008,-143,10,42,-51
1604044827.909193,-142,10,41,-49
1604044827.9371963,-140,10,40,-48
1604044827.9693139,-138,11,39,-46
1604044827.9973185,-134,13,38,-44
1604044828.0252666,-130,14,36,-41
1604044828.0531235,-126,16,35,-39
1604044828.0814643,-121,17,34,-36
1604044828.1092894,-118,19,32,-34
1604044828.1374648,-113,21,31,-31
1604044828.165153,-109,24,29,-29
1604044828.1931987,-106,26,28,-27
1604044828.2212234,-99,28,26,-24
1604044828.2491796,-96,29,24,-21
1604044828.2773502,-90,30,22,-19
1604044828.3052018,-82,34,20,-16
1604044828.333218,-77,35,18,-14
1604044828.3611948,-71,36,16,-12
1604044828.3891442,-66,36,15,-10
1604044828.4172757,-60,37,13,-8
1604044828.445403,-56,37,11,-7
1604044828.4733775,-49,37,9,-5
1604044828.5051634,-47,33,7,-4
1604044828.5332053,-42,32,5,-3
1604044828.5613909,-36,32,3,-2
1604044828.5891426,-31,31,1,-1
1604044828.6173835,-27,31,-1,0
1604044828.6452694,-22,32,-2,0
1604044828.6732526,-19,31,-4,0
1604044828.7013881,-13,29,-6,0
1604044828.7292478,-8,26,-7,1
1604044828.7572658,-2,25,-9,1
1604044828.7853088,4,19,-11,2
1604044828.8132527,11,15,-12,3
1604044828.841326,17,11,-13,4
1604044828.869181,23,8,-15,5
1604044828.9012258,29,5,-16,6
1604044828.9292421,33,3,-18,8
1604044828.957334,38,1,-19,9
1604044828.9892392,43,-1,-20,10
1604044829.0171967,48,-2,-22,12
1604044829.049267,52,-4,-23,13
1604044829.0813076,56,-5,-25,15
1604044829.1091397,59,-6,-26,16
1604044829.1373591,61,-6,-27,17
1604044829.1652608,65,-8,-28,19
1604044829.1973126,68,-9,-29,20
1604044829.2252836,72,-11,-30,21
1604044829.2531073,74,-12,-31,23
1604044829.281219,77,-14,-32,24
1604044829.3132296,80,-16,-33,25
1604044829.3412561,81,-16,-33,26
1604044829.3692439,82,-16,-34,26
1604044829.401241,83,-17,-34,27
1604044829.429177,84,-17,-35,28
1604044829.4572651,83,-18,-35,28
1604044829.485259,83,-18,-35,28
1604044829.517289,83,-18,-36,29
1604044829.5451846,83,-18,-36,29
1604044829.5732143,83,-18,-36,29
1604044829.6012497,82,-18,-36,28
1604044829.6293042,81,-18,-36,28
1604044829.6573129,80,-18,-36,28
1604044829.685268,78,-18,-36,27
1604044829.7173061,77,-17,-36,27
1604044829.7450826,76,-16,-35,26
1604044829.77311,76,-15,-35,26
1604044829.805328,74,-13,-34,25
1604044829.8332403,73,-12,-34,24
