165,0,147,6.461374998092651,1600855795.1148782,1600855801.5762532
-150,147,-2,3.6850225925445557,1600855805.600071,1600855809.2850935
-30,0,-33,2.7914698123931885,1600855813.310198,1600855816.101668
-75,-34,-115,3.7434656620025635,1600855820.1267266,1600855823.8701923
-120,-116,119,3.87003755569458,1600855827.894592,1600855831.7646296
90,119,-163,3.2094438076019287,1600855835.790388,1600855838.999832
-135,-163,51,5.162778377532959,1600855843.024398,1600855848.1871765
-90,50,-26,3.5294153690338135,1600855852.212721,1600855855.7421365
30,-26,-5,4.5027916431427,1600855859.7679298,1600855864.2707214
60,-5,40,2.952219247817993,1600855868.2950068,1600855871.247226
-45,40,-3,2.9359350204467773,1600855875.2726707,1600855878.2086058
-60,-3,-68,2.8435096740722656,1600855882.2345254,1600855885.078035
-15,-68,-93,2.3615269660949707,1600855889.1030118,1600855891.4645388
-105,-93,166,3.1668848991394043,1600855895.490137,1600855898.657022
180,166,-16,5.039508104324341,1600855902.681076,1600855907.7205842
105,-15,78,3.540289878845215,1600855911.7456656,1600855915.2859554
75,78,140,3.1468589305877686,1600855919.310561,1600855922.4574199
120,141,-99,3.4841294288635254,1600855926.4818494,1600855929.9659789
-165,-99,89,4.454315900802612,1600855933.9899096,1600855938.4442255
135,89,-144,4.33503270149231,1600855942.470575,1600855946.8056078
15,-143,-141,3.103163719177246,1600855950.8303301,1600855953.9334939
45,-141,-106,3.1728954315185547,1600855957.9588459,1600855961.1317413
150,-107,30,4.012344598770142,1600855965.158255,1600855969.1705997
